S.No,Name of BC,Contact Number,Gender,Bank Name,State,District ,Office Name,Pincode,Corporate BC name,ODOP product,CODE WORD OF PRODUCT LIST,CROP2 NAME,CROP2 SEASON,CROP1 AREA,CROP1 PRODUCTION,CROP1 Pincode,CROP1 NAME,SEASON,CROP AREA,CROP PRODUCTION,CROP3 NAME,SEASON,CROP AREA,CROP PRODUCTION
1,Shilpi Kumari,9421280154,female,Bank of Baroda,West Bengal,EAST MIDNAPORE,Rangibasan SO,721624,2DO TECHNOLOGIES PRIVATE LIMITED,"Processed cashew nuts,Patachitra,Human Hair (washed),Marine Products",Purba Medinipur (East Medinipur)%West Bengal,Rice,Winter,Winter,546260,721624,Rice,Summer,159819,563332,Groundnut,Summer,17994,52469
2,Pinki Yadav,5276250918,female,South Indian Bank,Andhra Pradesh,Ananthapur,A Narayanapuram B.O,515004,Aarambh Technical Services Pvt Ltd,"Cotton/Jean Pants,Dharmavaram Silk Sarees",Ananthpuram%Andhra Pradesh,Maize,Rabi,Rabi,47347,515004,Moong(Green Gram),Rabi,90246,1527,Onion,Rabi,90202,47964
3,Sudhindra Kumar Singh,9582105740,male,Bank of Maharashtra,Haryana,BHIWANI,Asalwas Marheta BO,127030,Abhimanyoo Business Private Limited,"Milk Product,Cattle Feed,Plastic Products",Bhiwani%Haryana,Maize,Rabi,Rabi,47347,127030,Moong(Green Gram),Rabi,90246,1527,Rice,Rabi,2942,10041
4,Avinash Kumar Pandey,6418505680,female,Tamilnad Mercantile Bank,Tamil Nadu,VELLORE,Keerasathu BO,632514,Abhipra Capital Ltd,Leather Products,Vellore%Tamil Nadu,Rice,Rabi,Rabi,15516,632514,Rice,Summer,4005,14518,Rice,Kharif,2942,10041
5,Vanshika Bhatnagar,4939491619,male,Central Bank of India,Haryana,SONIPAT,Jatheri BO,131029,ABHISHI INFOSYSTEMS PVT LTD,"Plastic moulded Products ( Electronic Toys),Food Processing,Stainless Steel Products",Sonipat%Haryana,Maize,Rabi,Rabi,47347,131029,Moong(Green Gram),Rabi,90246,1527,Rice,Rabi,2942,10041
6,Chetna Srivastava,7895011624,female,Nainital bank,Uttarakhand,PAURI GARHWAL,Dehalchauri SO,246125,ABSOLUTE RELIABLE SERVICES,Herbal Products,Pauri Garwal%Uttarakhand,Total foodgrain,Whole Year,Whole Year,104472,246125,Rice,Whole Year,14566,17359,Wheat,Rabi,90522,224042
7,Shweta Singh,6926640481,female,Indian Overseas Bank,Haryana,KARNAL,Bal Rangan B.O,132040,Aceware FinTech Services Pvt Ltd,"Ayurvedic Products,Food Processing,Printing and Packaging",Karnal%Haryana,Maize,Rabi,Rabi,47347,132040,Moong(Green Gram),Rabi,90246,1527,Rice,Rabi,2942,10041
8,Nidhi Verma,4211533257,male,Punjab and Sind Bank,Bihar,KISHANGANJ,Galgalia SO,855106,Achariya Technologies Pvt Ltd.,"Tea,Pineapple,Dragon Fruit",Kishanganj%Bihar,Rice,Winter,Winter,184220,855106,Moong(Green Gram),Rabi,90246,1527,Rice,Rabi,2942,10041
9,Chandan,2966061707,female,Punjab National Bank,Bihar,ARARIA,Balua kaliaganj BO,854333,Actas Technologies Pvt Ltd.,"Makhana,Jute",Araria%Bihar,Rice,Winter,Winter,216846,854333,Moong(Green Gram),Rabi,90246,1527,Rice,Rabi,2942,10041
10,Ajay Kumar Verma,5192040979,male,State Bank of India,Haryana,MAHENDRAGARH,Central University Haryana Mohindergarh SO,123031,Adhikar,Mustard Oil,Mahendragarh%Haryana,Maize,Rabi,Rabi,47347,123031,Moong(Green Gram),Rabi,90246,1527,Rice,Rabi,2942,10041
