S.No,Name of BC,Contact Number,Gender,State,District ,Office Name,Pincode,Corporate BC name,ODOP product,CODE WORD OF PRODUCT LIST,CROP1 NAME,CROP1 SEASON,CROP1 PRODUCTION
1,Shilpi Kumari,9421280154,female,West Bengal,EAST MIDNAPORE,Rangibasan SO,721624,2DO TECHNOLOGIES PRIVATE LIMITED,"Processed cashew nuts,Patachitra,Human Hair (washed),Marine Products",Purba Medinipur (East Medinipur)%West Bengal,Rice,Winter,546260
2,Pinki Yadav,5276250918,female,Andhra Pradesh,Ananthapur,A Narayanapuram B.O,515004,Aarambh Technical Services Pvt Ltd,"Cotton/Jean Pants,Dharmavaram Silk Sarees",Ananthpuram%Andhra Pradesh,Maize,Rabi,47347
3,Sudhindra Kumar Singh,9582105740,male,Haryana,BHIWANI,Asalwas Marheta BO,127030,Abhimanyoo Business Private Limited,"Milk Product,Cattle Feed,Plastic Products",Bhiwani%Haryana,Maize,Rabi,47347
4,Avinash Kumar Pandey,6418505680,female,Tamil Nadu,VELLORE,Keerasathu BO,632514,Abhipra Capital Ltd,Leather Products,Vellore%Tamil Nadu,Rice,Rabi,15516
5,Vanshika Bhatnagar,4939491619,male,Haryana,SONIPAT,Jatheri BO,131029,ABHISHI INFOSYSTEMS PVT LTD,"Plastic moulded Products ( Electronic Toys),Food Processing,Stainless Steel Products",Sonipat%Haryana,Maize,Rabi,47347
6,Chetna Srivastava,7895011624,female,Uttarakhand,PAURI GARHWAL,Dehalchauri SO,246125,ABSOLUTE RELIABLE SERVICES,Herbal Products,Pauri Garwal%Uttarakhand,Total foodgrain,Whole Year,104472
7,Shweta Singh,6926640481,female,Haryana,KARNAL,Bal Rangan B.O,132040,Aceware FinTech Services Pvt Ltd,"Ayurvedic Products,Food Processing,Printing and Packaging",Karnal%Haryana,Maize,Rabi,47347
8,Nidhi Verma,4211533257,male,Bihar,KISHANGANJ,Galgalia SO,855106,Achariya Technologies Pvt Ltd.,"Tea,Pineapple,Dragon Fruit",Kishanganj%Bihar,Rice,Winter,184220
9,Chandan,2966061707,female,Bihar,ARARIA,Balua kaliaganj BO,854333,Actas Technologies Pvt Ltd.,"Makhana,Jute",Araria%Bihar,Rice,Winter,216846
10,Ajay Kumar Verma,5192040979,male,Haryana,MAHENDRAGARH,Central University Haryana Mohindergarh SO,123031,Adhikar,Mustard Oil,Mahendragarh%Haryana,Maize,Rabi,47347
11,Vishwaksen Pandey,4190048937,female,Tamil Nadu,VELLORE,Gugainallore BO,632515,ADHIKAR MICRO FINANCE PVT LTD.,Leather Products,Vellore%Tamil Nadu,Rice,Rabi,15516
12,Ritu Singh,2077708635,male,Bihar,PURNIA,Akarthapa BO,854102,ADVANCE POWER SOLUTION,"Bamboo Art,Jute,Makhana",Purnea%Bihar,Rice,Winter,185906
13,Reetika Khandelwal,1072787611,female,Haryana,AMBALA,Chudiala B.O,133102,Agile Finserv Private Limited,"Scientific Equipments,Precision Engineering Products",Ambala%Haryana,Maize,Rabi,47347
14,Aakash A. Naidu,1405055697,male,Bihar,MADHEPURA,BAIDYANATHPUR,852101,Agora Microfinance India Ltd,"Bamboo Art,Mango",Madhepura%Bihar,Rice,Winter,117196
15,Ajay Anil Naidu,8669194547,female,Uttar Pradesh,KAUSHAMBI,Bandhawa Rajwar BO,212207,Agratam India Social Ventures Pvt Ltd,Food Processing (Banana),Kaushambi%Uttar Pradesh,Wheat,Rabi,108449
16,Krashan Kant,3786595469,female,Kerala,THRISSUR,Puzhakkal SO,680553,Agriwise Finserv Ltd.,Coconut Products,Thrissur%Kerala,Coconut,Whole Year,485000000
17,Aman Kumar Soni,5930397517,female,Haryana,HISAR,Kanwari BO,125037,AGROSERVE GLOBAL TECHNOLOGIES PRIVATE LIMITED,"Steel Products,Agriculture Implements,Dairy products",Hisar%Haryana,Maize,Rabi,47347
18,Bharti Shankar Chotwani,8941714749,male,Uttar Pradesh,SONBHADRA,Banki BO,231213,Agrosperity Tech Solutions Pvt. Ltd.,Carpets,Sonbhadra%Uttar Pradesh,Wheat,Rabi,117617
19,Archana Chhotelal Thakur,4082928352,female,Bihar,BEGUSARAI,Chhatauna BO,851130,Aimra Corporation Pvt Ltd,"Maize,Chilly",Begusarai%Bihar,Wheat,Rabi,64159
20,Vishal Vikram Singh,9937895379,female,Bihar,DARBHANGA,Gangauli BO,847407,Airan Limited,"Makhana,Madhubhani Paintings,Terracotta",Darbhanga%Bihar,Wheat,Rabi,89175
21,Pooja Choudhary,9754933753,male,Haryana,KARNAL,A.K.G.V.Mormajra B.O,132046,Airpay Payment Services Private Limited,"Ayurvedic Products,Food Processing,Printing and Packaging",Karnal%Haryana,Maize,Rabi,47347
22,Ramnarayan Patel,4481754076,female,Bihar,KATIHAR,Awadpur BO,855102,Airtel Payment Bank Ltd,"Jute,Makhana,Maize",Katihar%Bihar,Rice,Winter,154124
23,Shambhu Kumar,3046939930,female,Bihar,ARARIA,Chiknihat BO,854331,AISECT,"Makhana,Jute",Araria%Bihar,Rice,Winter,216846
24,Vineet Kumar,6066418052,male,Haryana,REWARI,Asiaki Gorawas BO,123035,AKOVA FINTECH SOLUTIONS PRIVATE LIMITED,"Motorcycles/ bikes,Engineering Goods",Rewari%Haryana,Maize,Rabi,47347
25,Vivek Kumar Mandal,2988530997,male,Haryana,BHIWANI,Aun BO,127025,Aksh & Uttara Solutions,"Milk Product,Cattle Feed,Plastic Products",Bhiwani%Haryana,Maize,Rabi,47347
26,Arshika Jaiswal,2267024487,female,Andhra Pradesh,East Godavari,Gondi B.O,533251,Aksh optifibre,"Fruit Based Food Products (Pickles, Mango Jelly, Fruit Pulp, Cashew nuts, Lemon extracts),Ratnam pens,White Wood Birds,Pulagurta Clothing Shirting & Sarees,MuramundaClothing Shirting &
Sarees,Veeravaram Silk Sarees,Dulla Sarees",East Godavari%Andhra Pradesh,Rice,Whole Year,1563229
27,Anant Kumar Singh,7273365032,male,Haryana,SONIPAT,Bhatgaon SO Sonipat,131022,Akshada Management Services Pvt Ltd,"Plastic moulded Products ( Electronic Toys),Food Processing,Stainless Steel Products",Sonipat%Haryana,Maize,Rabi,47347
28,Anshika Bhardwaj,5709086959,female,Uttarakhand,PAURI GARHWAL,Bhainswara Ghandiyal BO,246001,Alankit Ltd.,Herbal Products,Pauri Garwal%Uttarakhand,Total foodgrain,Whole Year,104472
29,Beauti Kumari,4957050702,male,Haryana,KARNAL,Bara Gaon B.O,132023,Ambarish Parekh,"Ayurvedic Products,Food Processing,Printing and Packaging",Karnal%Haryana,Maize,Rabi,47347
30,Deepanwita,1629935310,male,Bihar,KISHANGANJ,Angarhat BO,855115,AMBITION SERVICES PRIVATE LIMITED,"Tea,Pineapple,Dragon Fruit",Kishanganj%Bihar,Rice,Winter,184220
31,Shilpa Priyadarshani,8818974098,female,Bihar,SUPAUL,Bhimnagar Bairrage SO,854338,AMIT ENTERPRISE,"Lac Bangles,Makhana",Supaul%Bihar,Rice,Winter,149839
32,Pramod Kashyap,2835507685,male,Haryana,MAHENDRAGARH,Akbarpur BO,123023,Apna Payments Services Private Limited,Mustard Oil,Mahendragarh%Haryana,Maize,Rabi,47347
33,Saroj Kumar Yadav,8575606816,male,Bihar,KATIHAR,Bansgarha BO,854115,Appan Dukan Marketing and Services Pvt. Ltd.,"Jute,Makhana,Maize",Katihar%Bihar,Rice,Winter,154124
34,Ritesh Kumar Chaubey,2186188041,female,Bihar,KATIHAR,BELWA BO,854107,ARM COMMERCIAL SERVICES PVT LTD,"Jute,Makhana,Maize",Katihar%Bihar,Rice,Winter,154124
35,Piyush Chaturvedi,1132719389,male,Uttar Pradesh,AURAIYA,Bela SO Auraiya,206251,ARMEE TECHNOLOGY SERVICES PVT LTD,Food Processing (Desi Ghee),Auraiya%Uttar Pradesh,Wheat,Rabi,236332
36,Ashutosh Kumar Singh,3006239146,male,Bihar,SUPAUL,Achalpur BO,852109,ARREDS TRUST,"Lac Bangles,Makhana",Supaul%Bihar,Rice,Winter,149839
37,Amarjeet Kumar Singh,7057862651,female,Tamil Nadu,KRISHNAGIRI,Bandarahalli B.O,635123,Arth Microfinance Private Limited,Mango-Food Processing,Krishnagiri%Tamil Nadu,Rice,Rabi,15516
38,Akash Deep,6519977675,female,Kerala,IDUKKI,Anavilasam BO,685535,ARYADHAN FINANCIAL SOLUTIONS PVT LTD,Spices,Idukki%Kerala,Black pepper,Whole Year,23916
39,Anshul Singh Bhadouriya,2341025355,female,Haryana,HISAR,Badya Brahamana BO,125005,ASA International India Microfinance Ltd,"Steel Products,Agriculture Implements,Dairy products",Hisar%Haryana,Maize,Rabi,47347
40,Kumari Mamta Rani,4436648324,male,Uttar Pradesh,SONBHADRA,Billi Markundi BO,231219,ASSM TECHNOLOGY,Carpets,Sonbhadra%Uttar Pradesh,Wheat,Rabi,117617
41,Madhavi Kumari,6087131555,female,Bihar,BEGUSARAI,Bihat SO,851135,ASTHANA SOCIETY,"Maize,Chilly",Begusarai%Bihar,Wheat,Rabi,64159
42,Madhuri Kumari,9285145776,female,Bihar,KHAGARIA,Araria Balha BO,851203,Asuja Eserv Pvt Ltd,"Banana,Bamboo Art,Maize",Khagaria%Bihar,Maize,Rabi,119465
43,Deepali Lodhi,2563451440,male,Uttar Pradesh,KANPUR NAGAR,Agriculture College SO,208002,Atyati Technologies Pvt Ltd,Leather Products,Kanpur Nagar%Uttar Pradesh,Wheat,Rabi,155171
44,Md. Ariz Taukir Siddiki,8177686965,female,Bihar,BHOJPUR,Bampali BO,802312,Augmont Goldtech Private Limited,"Bhojpur Painting,Applique Work,Rice",Bhojpur%Bihar,Rice,Winter,287766
45,Praveen Ranjan,7323153096,female,West Bengal,PURULIYA,Agaibil BO,723129,Aviral Technologies Pvt Ltd,"Lac & Lac Products,Chow Mask",Purulia%West Bengal,Rice,Rabi,15516
46,Rishi Kumar,3881784424,female,West Bengal,PURULIYA,Balakdih SO,723128,AXESPOINT TECHNOLOGIES,"Lac & Lac Products,Chow Mask",Purulia%West Bengal,Rice,Rabi,15516
47,Sanjay Pal,8623749674,male,West Bengal,PURULIYA,Amrabera BO,723127,BABA MOTORS,"Lac & Lac Products,Chow Mask",Purulia%West Bengal,Rice,Rabi,15516
48,Saurabh Raj Singh,2844233549,male,West Bengal,PURULIYA,Anara BO,723126,BALAJI IT TECHNOLOGY SOLUTIONS PRIVATE LTD,"Lac & Lac Products,Chow Mask",Purulia%West Bengal,Rice,Rabi,15516
49,Sushant Kumar Singh,3043248242,male,West Bengal,PURULIYA,Adra Market SO,723121,Bankit Services Private Limited,"Lac & Lac Products,Chow Mask",Purulia%West Bengal,Rice,Rabi,15516
50,Uttam Kumar Pathak,5578602265,male,Kerala,ERNAKULAM,Chottanikkara SO,682312,Baroda Global Shared Services limited (BGSS),Oleo Raisins,Ernakulam%Kerala,Coconut,Whole Year,212000000
51,Vandana Sharma,3572015237,male,Tamil Nadu,VELLORE,Kattazhambattu BO,632312,Bartronics India Ltd,Leather Products,Vellore%Tamil Nadu,Rice,Rabi,15516
52,Aparna Dubey,7416417969,male,Tamil Nadu,RAMANATHAPURAM,Kuruvadi BO,623120,BD FINANCIAL SERVICES,"Marine Foods,Dry Fish",Ramnad (Ramanathapuram)%Tamil Nadu,Rice,Rabi,15516
53,Aman Kumar Arya,9235067708,female,Andhra Pradesh,SRIKAKULAM,Bhirlangi B.O,532312,Bharat Financial Inclusion Ltd,"Ponduru Cotton Sarees,Budithi Bell & Brass Metal Craft,Ponduru Dhoti & Shirtings,Jute Works,Cashew Kernels",Srikakulam%Andhra Pradesh,Rice,Whole Year,447672
54,Mahee Dubey,3765129370,female,Andhra Pradesh,Guntur,Alapadu B.O,522312,BHARTIYA SAMRUDDHI FINANCE LTD,"Chillies,Bronze Casting,Mangalagiri sarees and Fabric",Guntur%Andhra Pradesh,Rice,Whole Year,1111932
55,Sushil Kumar Yadav,6277747801,male,Telangana,SIDDIPET,Kodakandla S.O,502312,BLAZE TRUST,"Golabama Sarees,Cherial Paintings",Siddipet%Telangana,Rice,Rabi,15516
56,Vishwajeet Virottam,7153093447,male,Maharashtra,PUNE,Tondal B.O,412312,BLS INTERNATIONAL SERVICES LIMITED,"Engineering Goods,Frozen Food",Pune%Maharashtra,Jowar,Rabi,131700
57,Brijendra Kumar Rai,2493302601,male,Rajasthan,JODHPUR,Barsallu Kallan BO,342312,BLUE3 IT SOLUTIONS PVT. LTD,Furniture - Handicraft Products,Jodhpur%Rajasthan,Rice,Rabi,15516
58,Rajeev Ranjan Dwivedi,9981723095,female,Rajasthan,SIKAR,Alkhpura Bogan BO,332312,Bold Finance Technologies Pvt Ltd,Furniture - Antique,Sikar%Rajasthan,Rice,Rabi,15516
59,Raviprakash Singh Kushwaha,1611201266,male,Uttar Pradesh,SONBHADRA,Bagesoti BO,231226,Bonfleet Solutions Private Limited,Carpets,Sonbhadra%Uttar Pradesh,Wheat,Rabi,117617
60,Rahul Kaithwar,3073710660,male,Uttar Pradesh,SONBHADRA,Anpara Tps SO,231225,BSS Microfinance Limited,Carpets,Sonbhadra%Uttar Pradesh,Wheat,Rabi,117617
